,address,price,url,lat,lng,beds
12,3202 Pine Tree Trl,"35,000",30349,33.566322,-84.4802,3
13, Gary Rd NW,"39,800",30318,33.767784,-84.46123,0
14,1686 Woodland Ave SE,"39,900",30315,33.70861,-84.35187,0
15,530 Baker Cir NW,"39,800",30318,33.76989,-84.45833,0
16,1686 Woodland Ave SE,"39,900",30315,33.708607,-84.35187,4
17,1686 Woodland Ave SE #12,"39,900",30315,33.70861,-84.35187,0
18,220 Linkwood Rd NW,"39,800",30318,33.76107,-84.48348,0
19,2805 Macon Dr SE,"34,000",30354,33.678333,-84.38958,3
20,118 Camelot Dr,"35,000",30349,33.602848,-84.47415,3
21, Spring Ln NW,"30,000",30314,33.7553,-84.43903,0
22,118 Camelot Dr #118,"35,000",30349,33.602848,-84.47415,3
23, Bobby John Dr,"39,900",30349,33.6152,-84.5053,0
24,916 McDaniel St SW,"30,000",30310,33.72989,-84.40136,0
25,911 Camelot Dr,"30,000",30349,33.60237,-84.47565,2
26,2889 Grand Ave SW #24,"30,000",30315,33.675884,-84.40259,0
27,1399 Oakland Dr SW,"30,000",30310,33.716713,-84.427826,0
28,1 Marktrey Pl,"35,000",30318,33.7905,-84.44,0
29, Meador Ave S,"35,000",30315,33.7066,-84.3852,0
30,2805 Macon Dr SW #13F,"34,000",30354,33.6784,-84.3882,3
